Hk_1	Hk_2	Hk_3
29.23333	20.56667	1.366667
21.2	12.3	1.025
24.9	0	0
27	0	0
17.8	30	0
29.5	15.3	0
30	28.2	1.2
28.5	27.1	0
25.3	20.6	0
17.7	0.6	0
0	10.2	0
0.6	12.4	0
25.6	1.2	0
14.3	14.6	0
16.6	17.8	0
14.8	18.4	0
36.7	0	0
17.8	10.1	0
0	6.2	0
36.8	0	0
14.6	0	0
20.375	9.7	0.4
15.38	4.72	0.16
18.4	0	0
16.67143	9.7	0.5428572
26	0	0
41.3	3.3	0
48.4	11.3	0
36.8	11.9	0
48.9	0	0
12.4	0	0
15.6	0	0
0	14.8	0
10	0	0
15.5	0	0
18.84	0	0
12.7	0	0
19.4	0	0
17	0	0
10.8	0	0
8.170667	0	0
8.8	0	0
12.33333	0	0
12.3	0	0
12.8	0	0
18.3	0	0
19.5	0	0
31.8	0	0
28.2	0	0
13.5	0	0
21.7	0	0
25.4	0	0
18.3	0	0
7.9	23.9	0
19.1	0	0
14.3	0	0
24.2	14.4	0
19.55	13.43333	0.2666667
12.6	11.2	0
18	0	0
34.1	12.8	0
20.3	0	0
23.8	0	0
14.4	0	0
20	0	0
19	0	0
23.6	0	0
10.74222	0	0
33.1	15.7	0
21.4	11.2	0
41	0	0
4.22	0	0
28.1	21.8	0
21.43333	13.03333	0
21.2	0	0
22.3	20.3	0
40.9	0	0
18.6	15.8	0
17.7	14.4	0
13.2	20	0
7.8	23	0
1.2	21.8	0
26	32.3	0
45.1	0	0
18	21.6	0
34.48333	11.98333	0
52.6	7.3	0
40.43333	2.716667	5.87607
7.6	25.8	0
16.6	17.6	0
15.2875	17.4375	0
16.3	17.1	0
17.8	16.9	0
10.5	29.8	0
24.4	8	0
11.7	0	0
13.7	11.4	0
34.4	23.8	0
28.9	27.7	0
32.2	14.8	0
43.1	0	0
30	0	0
6.3	21.4	4.7
7.1	18.3	0
1.4	10.6	1.8
4.6	15.7	0
5.2	0	0
38.8	11.6	0
34.3	1	0
35.1	14.9	0
38.4	0	0
24.5	9.7	0
28.5	9.4	0
8.7	0	0
17	19.6	0
14.9	13.9	0
9.5	21.9	0
15.9	0	0
24.9	0	0
4.6	10.7	0
1	15.4	0
0	6.2	0
11.7	0	0
39.4	22.6	0
31.9	6.8	0
33.6	0	0
33.2	0	0
41.6	0	0
31.9	27.6	2
34.25714	14.65714	0.2857143
30.9	7.8	0
17.6	11.6	0
33	8.8	0
41.9	8.8	0
18.2	7.4	0
28.9	18.6	0
37.3	0	0
24.4	12.4	0
36.1	0	0
40.85	0	0
32.4	0	0
46.5	0	0
39.3	0	0
36.71429	6.042857	0
35.08333	0	0
37.6	0	0
54.7	9.9	0
