Z3_1	Z3_2	Z3_3
445.5044	458.3473	627.3036
424.5854	460.7401	627.3022
446.3802	540.2075	627.3019
478.9657	500.5474	627.3026
421.8066	476.4031	627.3012
443.7855	486.6336	627.3024
465.5128	484.4428	627.3022
456.5817	486.2043	627.3018
422.2639	443.8083	627.3004
421.5618	526.5984	627.3001
425.5965	529.9071	627.3007
425.892	455.4736	627.2999
429.606	449.8864	627.2997
427.1308	434.3002	627.2997
439.5137	458.2495	627.2998
440.0352	544.8147	627.2998
442.0356	543.7585	627.2998
445.5182	452.6986	627.2999
451.8731	480.3224	627.3
453.3249	566.6456	627.3
448.7642	535.1842	627.2999
457.8636	484.4545	627.3
461.912	505.3391	627.3
463.6597	486.1748	627.3
466.4124	565.558	627.3
462.0697	561.8289	627.3
434.368	442.9264	627.3038
457.7348	489.5504	627.3013
447.9298	464.9367	627.3034
460.0677	538.1031	627.3026
448.0538	525.5818	627.3036
434.17	457.3597	627.3023
445.8989	517.8773	627.3026
429.3062	463.6322	627.3011
435.2304	536.2121	627.3013
423.6103	523.3762	627.3014
429.0293	430.6281	627.3002
430.7581	446.0988	627.2998
429.1415	493.6064	627.2999
448.6561	451.7968	627.2999
449.5104	519.5594	627.2999
453.5529	455.7126	627.3
454.9164	465.4587	627.3
459.5168	462.2006	627.3
460.8533	498.1126	627.3
458.8047	532.7955	627.3
453.9246	489.1947	627.3015
463.9148	492.168	627.3008
462.5678	466.6207	627.3
469.7472	488.4138	627.3001
444.0777	451.1291	627.302
446.2141	466.3914	627.3032
440.9336	443.0634	627.3009
441.9103	452.3684	627.2999
440.9524	458.6126	627.3
449.7622	464.022	627.3
453.4222	470.0063	627.3001
455.3299	466.9343	627.3
511.4066	579.9424	635.0556
562.2062	565.6433	635.5748
494.7245	548.4218	625.3738
535.1396	562.5486	629.0922
490.2448	554.199	627.3052
437.5826	485.2788	625.493
435.824	482.8023	625.446
424.3514	460.5485	625.4759
432.9537	482.4693	626.3232
439.979	477.0602	626.1909
465.7603	541.9785	634.5317
524.9342	587.8577	650.4276
524.7385	590.4088	653.5502
545.4537	590.8427	654.0927
589.7336	605.1902	652.64
590.2881	603.3523	653.2524
438.6237	482.066	627.4365
459.3002	540.6548	627.2671
430.4424	460.8233	627.29
460.9031	519.437	646.6017
486.7764	487.9046	627.3001
431.6413	475.0877	627.3063
427.9366	458.6202	627.3063
422.0809	460.4012	627.3058
423.8593	461.2286	627.3058
422.1401	463.6577	627.3053
427.5784	465.4536	627.3056
427.5038	458.0529	627.306
459.2549	519.6021	627.3071
476.5636	533.6145	626.3272
467.2491	530.0661	625.7197
443.4723	470.4133	627.2999
442.3195	483.0299	627.2999
446.0087	457.7502	627.2999
467.3266	472.0178	627.3001
430.2761	470.7861	627.3794
527.2849	587.0801	649.4022
528.2012	588.8411	651.0549
536.4711	598.1226	659.4847
528.7634	565.7271	623.7888
567.6199	580.3851	625.7238
516.4531	568.3216	632.2568
433.8149	466.7646	627.3016
425.0723	469.2298	627.3038
427.8589	467.5132	627.2941
426.3882	462.8081	627.3113
427.3371	466.0591	627.3021
512.7288	535.8787	645.3179
454.2096	499.8529	627.4528
432.5957	483.5831	627.2884
431.0602	479.2811	627.283
427.2091	472.7157	627.3
429.9874	473.2795	627.2872
422.2103	463.5471	627.3228
430.2394	467.6484	627.3155
447.6801	475.7457	627.4306
435.2146	480.5652	627.3204
466.49	475.4818	626.3832
449.609	476.7065	626.5637
481.0934	533.1661	626.7426
474.9499	513.5673	626.5945
473.3918	513.6259	626.3142
461.6867	474.1145	626.4522
475.1157	488.808	626.3531
522.8273	530.757	658.7332
517.5383	530.2256	654.2499
538.0968	598.1869	659.0387
597.9341	635.8007	659.0872
529.5453	594.8094	658.9017
529.9523	594.72	658.6989
531.7018	596.9476	658.6321
454.8242	469.5462	625.8115
471.2191	489.0313	625.8851
471.2246	489.8524	625.8846
450.4418	468.9138	625.7906
465.2913	517.843	625.8182
525.4258	598.0248	658.9193
539.7328	598.4197	659.2664
442.1701	478.5212	627.0221
471.8094	480.3162	626.9042
447.8705	497.1017	627.3006
454.1509	502.1951	627.3004
