Z3_1	Z3_2	Z3_3
464.3524	519.4788	627.5187
489.0934	522.0574	627.4652
481.8017	520.8961	627.4766
468.2654	524.2451	627.5601
494.857	524.9253	627.5467
472.8944	538.2816	627.5734
465.9576	526.3174	627.5683
464.2786	527.9009	627.5477
456.5595	528.1637	627.5033
467.5864	529.1005	627.4155
466.8248	517.019	627.4009
464.9491	517.4739	627.4921
487.3688	511.0302	627.4189
464.7887	508.5208	627.4526
499.28	534.4724	627.3386
466.1127	521.7366	627.5357
474.8564	527.2147	627.5115
490.3818	554.087	627.5581
462.3242	524.9011	627.5701
464.7076	529.1534	627.5587
463.6179	526.8052	627.5206
469.7657	532.9774	627.4936
484.4967	534.5495	627.2138
472.4825	531.8042	627.363
484.7438	535.2924	627.2124
473.5347	530.8593	627.3552
469.7394	539.2429	627.1547
478.2928	530.8496	627.3024
491.7354	540.1701	627.1286
466.616	526.6816	627.2997
474.0833	537.2444	626.7973
487.2015	536.54	627.015
486.0159	539.5393	626.828
489.584	539.8101	626.9716
476.3394	538.2935	626.7204
480.3862	546.9843	626.9335
471.7893	525.0732	626.6671
506.8225	562.8271	626.9031
481.3053	523.9387	626.815
478.4635	537.0907	626.2694
472.9807	535.3465	626.1876
467.4521	528.1533	626.0845
462.405	534.3348	625.6746
468.391	527.2641	625.5934
478.1233	535.5475	628.2274
498.4456	535.2714	626.7252
475.0898	536.7023	625.3596
469.1179	529.7757	625.3336
442.8412	526.142	625.5927
479.1342	541.1207	625.4584
472.6316	534.235	625.4944
433.4539	491.5728	627.0082
435.6619	472.0433	627.191
482.3309	546.2935	626.1873
491.8339	539.9926	625.941
480.8941	541.6962	626.4465
484.1316	538.7662	626.0504
469.2033	532.3015	626.1703
447.3648	488.6749	627.324
447.139	496.6504	627.4223
477.7515	544.8148	627.866
481.7889	540.9592	627.0071
475.5767	539.6375	627.9143
494.2857	536.8407	626.5472
487.5615	546.942	627.0286
438.4047	498.545	627.4941
459.2967	533.666	627.5637
489.1858	534.2967	627.2317
511.0858	534.2555	627.2275
478.0568	532.5455	627.4819
480.468	532.2515	627.578
473.7341	524.8052	625.3868
465.0497	522.3406	625.3178
458.9981	518.3091	625.5138
456.0747	516.3058	625.9715
455.0226	514.2653	626.1848
436.1891	509.4548	626.4291
479.682	541.456	629.4316
478.9328	536.7267	631.1181
481.8835	522.2356	627.5349
463.5875	527.4475	627.4366
479.1062	533.3585	627.301
456.1308	521.3823	627.2722
462.6898	514.1741	627.4643
458.3698	509.9036	627.4396
447.4955	504.6161	627.3844
465.2376	504.607	627.3219
450.6428	507.9237	627.2844
460.5866	510.5542	627.2691
438.7727	489.063	625.8849
472.2554	520.6561	627.3647
432.0028	477.397	625.7145
435.7067	470.3111	625.7969
437.7067	466.3284	625.6149
451.5314	505.9377	627.3004
439.1812	481.9411	627.3062
436.2213	482.6582	627.3071
436.6743	479.4904	627.3052
445.8082	511.1627	627.3058
453.5617	518.4594	627.3073
448.9537	525.4585	627.2893
445.3628	511.5999	627.3077
445.3206	500.2388	627.3079
446.4706	491.605	627.3078
441.7071	502.0871	627.3076
440.7151	491.8024	627.3068
451.9582	487.9807	627.3077
446.0112	509.5165	627.3069
444.8668	502.1222	627.3076
453.0096	510.0855	627.3073
437.5876	485.2254	627.3077
438.7628	483.1284	627.3072
436.8399	486.05	627.3066
455.7458	501.4252	627.3058
434.7768	478.3624	627.3044
447.0674	485.7242	627.3056
458.1891	513.9841	627.3065
459.8236	508.4186	627.306
459.1524	519.7444	627.3075
455.6806	511.6399	627.3077
453.3039	505.9401	627.307
445.2875	485.8115	627.3063
466.8841	513.3267	627.307
441.6226	496.4469	627.3065
438.2062	478.5007	627.3059
454.7175	479.825	627.3048
527.0101	529.9955	657.0159
537.4628	594.2004	657.1628
496.8958	526.1628	626.5635
465.8746	526.8719	626.375
457.6541	521.0288	627.3057
512.3636	573.191	656.5734
527.8638	585.2679	647.309
592.5197	624.4754	656.0906
521.7619	570.1819	631.7987
589.162	597.3157	651.1995
445.5009	502.2988	627.3069
466.2247	536.2361	633.071
457.2822	524.6593	629.6166
457.0013	514.3584	636.2122
452.3415	513.7001	637.6585
456.1781	506.3454	639.6049
492.3394	581.6608	627.3001
464.2495	474.391	627.3
543.3841	591.3566	654.7062
534.4697	596.753	658.5964
487.8137	550.8417	627.3
591.6304	615.5355	655.1409
510.278	575.3892	657.1412
445.1012	478.4328	627.4485
531.7202	533.3805	658.2423
