H_1	H_2	H_3
33.93333	34.7	4.766667
25.375	17.25	3.575
29.4	0	0
35.3	0	0
25.7	45.5	0
32.9	15.3	0
43.2	55.4	2.6
39.5	28.2	0
25.7	33.8	0
34.6	0.6	0
0	11.8	0
0.6	13	0
31.6	1.2	0
26.9	17.6	0
30.4	47.8	0
28	22.2	0
51.5	0	0
24.5	21.1	0
0	8.3	0
39.4	0	0
16.3	0	0
62.65	13.1	0.65
30.34	5.88	0.16
31.6	0	0
23.78572	14.91429	0.6714286
65	0	0
71.5	4.2	0
65.3	17.4	0
42.4	15	0
47.1	0	0
24.2	0	0
36.4	0	0
0	29.4	0
24.8	0	0
37.4	0	0
39.02	0	0
30.9	0	0
50.4	0	0
19.4	0	0
20.23333	0	0
18.316	0	0
30.1	0	0
32.6	0	0
30.3	0	0
41.9	0	0
36.8	0	0
38.4	0	0
51.6	0	0
51.6	0	0
44.4	0	0
44.3	0	0
43	0	0
30.2	0	0
12.7	35.2	0
25.7	0	0
66.8	0	0
35.3	25.2	0
31.33333	25.76667	0.2666667
28.4	25	0
84.7	0	0
53.3	13.2	0
41.7	0	0
25.6	0	0
27.925	0	0
33.92	0	0
26.4	0	0
45.4	0	0
20.21194	0	0
44.1	28.9	0
33.4	12.2	0
57.3	0	0
12.08	0	0
35.6	31.5	0
26.1	16.63333	0
22.6	0	0
29.6	28.2	0
57.6	0	0
23.1	15.8	0
21.7	15.2	0
14.2	26	0
17.8	34.4	0
15.2	32.2	0
30.6	45	0
57.2	0	0
20.4	43.8	0
41.16667	14.2	0
77.3	7.3	0
90.01667	2.933333	20.33038
24	51	0
21.2	30.2	0
18.37917	27.19583	0
25.9	17.1	0
22	26.4	0
14	40.8	0
40.4	8	0
47.7	0	0
58.4	28.8	0
35	40.8	0
30.4	39.7	0
50	14.8	0
56.6	0	0
71.8	0	0
6.3	16.6	4.7
7.1	24.6	0
1.4	11.6	1.8
13.8	35.9	0
7.5	0	0
44.2	12.2	0
39.3	1	0
47.1	17.8	0
41.7	0	0
33	12.9	0
31.3	9.4	0
17.1	0	0
21.4	30.6	0
17.4	21.1	0
16.5	31.9	0
37.4	0	0
52.9	0	0
10.8	10.7	0
1.6	33.2	0
0	7.4	0
22.5	0	0
50.8	32.8	0
40.4	7.7	0
44.3	0	0
40.6	0	0
49.9	0	0
53	47.8	2
42.51429	23.75714	0.2857143
42	9.5	0
38.6	30.4	0
38.1	14.8	0
46.8	12.575	0
30.8	8.2	0
41.9	18.6	0
67.5	0	0
33.1	23.7	0
55.3	0	0
75.31667	0	0
53.2	0	0
57.8	0	0
53.6	0	0
51.48571	8.542857	0
58.38334	0	0
40.4	0	0
57.5	9.9	0
42.28	19.94	0
51	0	0
39.1	0	0
39.925	7.575	0
39.8	0	0
42.1	0	0
31.1	16.1	0
39.9	3.8	0
22.3	16.6	0
35.2	0	0
42.6	0	0
36	0	0
43.9	0	0
44.2	0	0
51.36	0	0
25.3	20.5	0
27.1	22.2	0
28.13333	16.38333	0
22.6	30.6	0
18.4	18.3	0
21.625	11.575	0
6.8	15.9	0
37.3	0	0
24.4	12.1	0
36.2	0	0
25.92	16.42	0
4.6	35.2	0
17.00155	24.8	0
38.3	0	0
34.6	0	0
8.9	10.8	0
19.18	11.88	0
7.3	24.9	0
7.075	20.75	0
16.33333	12.83333	0
5.48	22.6	0
4.6	24	0
4.2	12	0
2.86	8.16	0
3.54	18.18	0
1.8	11.6	0
2.6	8.8	0
2.4	9.34	0
54.1	0	0
49.1	21	0
0	29.5	0
0	22.2	0
0	23.6	0
0	18.4	0
3.825	14.625	0
32.6	0	0
32.34	2.54	0
52.1	0	0
50.4	0	0
29.3	12.7	0
31.6	0	0
30.56667	6.6	0
39.7	0	0
40.4	9.6	0
36.35	5.316667	0
25	5.4	0
36.6	0	0
22.7	20.2	0
29.08333	4.316667	0
22.4	3.5	0
19.3	10.1	0
2.3	13	0
12.575	6.05	0
4.4	11.2	0
3.9	6	0
3.1	7.3	0
0	13.2	0
5.770685	19.55	0
11.6	11.7	0
1.425	14.7	0
0	13.3	0
0	26.2	0
0	17.5	0
26	5.8	0
32.36666	15.06667	0
39.2	0	0
42.73333	0	0
42.7	0	0
37.5	9.225	0
28.7	1	0
32.5	0	0
47.4	0	0
46.42	6.32	0
43.425	3.35	0
43.275	11.45	4.55
19.2	0	0
24.4	0	0
16.7	0	0
36.5	0	0
36.35	8.9	0
39.9	0	0
46.98	4.28	0
32.65	13.125	0
5.6	52.5	0
45.675	15.275	0
44.875	11.725	0
45.9	0	0
36.9	0	0
38.6	0	0
44.075	10.3	0
48.6	10.9	0
29.075	11.4	0
45.2	13	0
30.5	34.7	0
39.9	0	0
48.9	0	0
41.34	6.16	0
41.74	4.16	0
41.4	0	0
56.1	0	0
37.6	16.9	0
48.2	5.6	0
33.2	0	0
34	0	0
35.4	6.8	0
42.7	8.4	0
41.93333	0	0
29.7	0	0
41.4	20.8	0
42	18	0
43	19.2	0
41.4	0	0
51.3	0	0
43.4	6.6	0
65.6	0	0
32.3	0	0
30.1	0	0
46.8	0	0
46.7	0	0
36.64	0	0
31.5	0	0
47.5	0	0
35.95	12.66667	0
38.6	0	0
37	20	0
43	0	0
30.2	25.6	0
35.1	0	0
46.4	7.6	0
54.1	0	0
50.1	0	0
22.4	0	0
19.8	0	0
27.5	0	0
42.3	0	0
37.86666	2.55	0
34.6	0	0
38	0	0
41.6	0	0
54.2	0	0
29.4	15.6	0
35.9	0	0
48.6	0	0
25.125	0	0
9.7	0	0
28.1	0	0
40.3	0	0
47	9.9	0
32.4	0	0
28.3	18	0
40.4	18	0
59.5	0	0
27.6	24.8	0
45.7	12.2	0
31.5	11.4	0
26.1	14.2	0
33	33.5	0
30.3	15	0
30.6	17.2	0
24.1	10.9	0
51.5	0	0
2.1	0	0
44.8	0	0
65.7	0	0
47.4	0	0
60.84	7.52	0
36.9	0	0
42.6	0	0
64.46	9.38	0
41.9	11	0
40.7	2	0
85.5	1.1	0
56.1	0	0
53.9	13.3	0
33.8	22.8	0
50.9	18.7	0
36.51667	7.25	0
58	50.9	0
29.7	0	0
45.2	0	0
46.9	0	0
44.20333	12.985	0
57.7	21.4	0
54.875	3.025	0
47.1	0	0
49.1	0	0
49.94	22.68	0
36.2	17.8	0
43	10.75	0
43.76667	17.9	0
54.3	0	0
69.7	0	0
44.8	22.7	0
36.8	0	0
56.1	0	0
48.6	0	0
34.3	78	0
33.2	0	0
38.2	0	0
47.3	0	0
35.93333	0	0
34.68333	14.83333	0
34.2	0	0
30.9	0	0
70.7	0	0
33.41667	8.083333	0
54	13.78333	0
61.6	31.4	0
46.3	0	0
40.2	18.48	0
50.1	0	0
34.5	35.1	0
45.8	18	0
41.6	8.4	0
64.2	1.8	0
40.13334	13.48333	0
47.9	0	0
39.2	1.2	0
30.6	0	0
37.6	0	0
32.8	0	0
45.2	0	0
36.2	22	0
49.775	5.5	0
69.5	0	0
41.8	0	0
41.8	7.1	0
25.8	9.8	0
43.4	19	0
37	21.7	0
38.9	0	0
55.7	20	0
37.98	6.2	0
46.5	0	0
59.5	0	0
42.4	19.8	0
22.2	0	0
37	28.4	0
36.4	13	0
27.2	45.5	0
22.4	27.7	0
27.9	13.5	0
10.6	15.5	0
10.5	29.5	0
53.2	0	0
45.6	0	0
43.4	33.2	0
52.5	35.9	0
52.6	16.8	0
58.8	23.1	0
23.1	29.6	0
39.4	19.8	0
30.7	0	0
39.1	9.4	0
7.9	11.02044	0
32.4	1	0
34.3	23	0
22	17.7	0
47.3	0	0
39.2	19.8	0
51.5	5.6	0
38.3	39.4	0
37.45	11.3	0
46.3	0	0
45.8	0.7	0
32.5	22	0
29.4	35.7	0
42.2	1.8	0
50.6	12.2	0
31.6	10.2	0
38.4	16	0
48.2	0	0
45.6	19.4	0
59.2	0	0
36.6	0	0
35.1	16	0
31.3	12.96	0
35.6	13.8	0
28	34.8	0
36.4	16.2	0
35.3	0	0
52.4	0	0
43.92	5.04	0
22.9	28.2	1.6
19.3	14	0
12.9119	14.13333	0.5666667
13	30	6.4
12.4	35.1	0
24.8	49.2	0
12.7	55	0
12.4	40.5	0
9.7	43.8	0
10.4	44.2	0
39.8	0	0
30.2	0	0
39.475	14.625	0
31.7	25.3	0
35.6	0	0
39	8.3	0
52.6	0	0
39.33333	21.78333	0
40.8	43.3	0
26	14.4	0
31.24	27.06	0
46.1	18.1	0
22.6	34.3	0
34.62	30.4	0
34.4	0	0
29.2	33.1	0
32.7	45.8	0
26.8	18.8	0
30.5	17.8	0
24.6	0	0
13.7	0	0
10.2	8.2	0
13	12.6	0
30.6	0	0
21.6	9	0
23	0	0
3.8	29.5	0
2.2	21	0
21.9	5.6	0
43.7	0	0
47.2	2.9	0
48	23.9	0
40.1	14.2	0
62.2	0	0
47.3	19.7	0
32.3	31.5	0
50.8	14.4	0
44.8	12.7	0
26.1	12.1	0
45.7	20.5	0
44.4	18.7	0
34.79861	21.12222	0.5958334
25.6	20.8	0
40.1	26.3	0
13.2	26	0
28.9	29.9	0
9.2	20.6	4.7
13.8	18.3	0
41.7	36.1	0
27	32.6	0
24	8.9	0
28.6	13.2	0
45	0	0
20	21.3	0
14.4	19.2	0
21.1	31.9	0
6	27.4	0
10.67143	10.2	0
10.2	14.2	0
1.1	16.5	0
0	27.4	0
3.8	15.1	0
0	25.6	0
1.8	9.6	0
38.8	0	0
62.7	12.03333	0
39.5	0	0
25.8	26.9	0
23	0	0
42.34	13.9	0
58.4	0	0
35.1	16.5	0
38.6	27.9	0
53.9	0	0
25.7	25.1	0
37.12	19.945	0
32.58	16.08	0
41.6	28.2	0
29.5	22.8	0
30.7	29.1	0
39.5	10	0
37.5	0	0
37.4	0	0
34.8	0	0
32.4	10.2	0
27.5	47.5	0
31	29	0
30.2	9.4	0
57.8	0	0
27.8	27	0
44.4	0	0
40.3	0	0
36.9	0	0
13.9	12.3	0
45	8.4	0
16.3	26.7	0
15.6	9.3	0
10.1	29.4	0
2.6	26	0
1	24.4	0
5.4	39.4	0
8	22.7	0
10.1	33.2	0
6.4	14.6	0
4.8	13.8	0
6.9125	14.45	0
7.2	24.4	0
8.533334	25.08333	0
6	14	0
4	12.1	0
2.1	35.9	0
1.9	13.2	0
1.2	28.1	0
2.2	30.7	0
0	28.4	0
0	17.1	0
1.576667	14.16	0
0	14.4	0
10.2	0	0
15.5	0	0
3.875	18.6	0
0	22.7	0
5.166667	19.3	0
0	16.5	0
15.3	0	0
24.4	0	0
29.9	21.9	0
34.275	12.2	0
44	0	0
21.1	0	0
20.6	8.3	0
17.9	8.8	0
13.9	7.4	0
31	21.8	0
53.8	32	6.4
73.5	11.2	0
67.2	0	0
84.3	0	0
75.7	0.8	0
72.9	0	0
88.8	0	0
57.5	0	0
78.6	0	0
67.4	18.4	0
84.2	5.6	0
70.9	0	0
77.6	19.2	0
102.8	0	0
52.7	39.1	0
75.5	19.6	0
77.4	20.2	0
27	0	0
63.1	23.6	0
68.6	9.2	0
71.6	3	0
83.6	0	0
67.3	0	0
13.5	25.3	0
75.9	1.3	0
60.8	34.6	0
88.2	16	0
76	0.6	0
85.2	8.1	0
75.6	31.8	0
96.4	22.8	0
66.4	0	0
60	0	0
76.6	0	0
81.5	0	0
66.4	3.6	0
74.5	0	0
78	0	0
75.6	0	0
75.2	9.2	0
78.8	0	0
84.5	0	0
90.8	0	0
74.8	0	0
80.2	0	0
86.2	0.8	0
100.4	2.2	0
92.9	0	0
44.8	0	0
70.8	0	0
75	0	0
35.8	0	0
66.8	0	0
96.5	0	0
76.1	0	0
36.6	0	0
57	0	0
47.8	37.6	0
49.4	0	0
81.4	0	0
35	53.1	0
29.8	30.3	0
58.8	0	0
83.1	0	0
61.8	0	0
83.4	0	0
71	13	5.066667
66	0	0
63.2	21.2	0
52	0	0
75.8	0	0
80	0	0
102.4	0	0
67.8	0	0
28.6	31.6	0
73.7	0	0
59.4	0	0
130	0	0
40.4	0	0
59.2	0	0
109.5	0	0
93.2	0	0
75	0	0
58.6	0	0
70.3	0	0
27.5	36.7	0
66.32	4.26	0
79	21.3	0
115.5	0	0
74.6	44.4	0
