Z_1	Z_2	Z_3
446.15	0	0
521.5	0	0
524.65	0	0
0	522.25	0
522.25	0	0
520.25	0	0
627.3	0	0
522.15	0	0
521.05	0	0
521.4	0	0
638	0	0
574.4011	594.2715	658.8008
522.75	0	0
517.4503	594.2656	658.8012
520.6	0	0
521.15	0	0
519.95	0	0
520.55	0	0
521.4	0	0
519.8	0	0
523.55	0	0
522	0	0
522.75	0	0
523.25	0	0
416.5	450	0
519.95	0	0
500.8	0	0
422.2	457.2	0
419.1696	457.909	627.3018
419.8	464.9	0
563.8	0	0
435.75	484.5	0
525	0	0
525.3	0	0
633.05	0	0
575.2	0	0
523.8	0	0
524.75	0	0
607.2377	595.1746	658.7983
432.85	478.5	0
423.4	468.1	0
445.7	0	0
656.55	0	0
427.7	473.5	0
0	0	0
424.2	0	0
426.5	473	0
438.75	0	0
423.1	464.05	0
421.8	459.9	0
416	444.5	0
439.4	485.25	0
431	475.1	0
426.15	474.5	0
467.25	0	0
423.8	466.15	0
535.5	0	0
494.85	543.45	0
467.5	536.5	604.5
455	507	0
424.1	464.5	0
429.0206	487.1589	627.2995
424.3	467.1	0
423	461	0
416.45	457.2	0
428.4	467	0
511.3	0	0
477.7	529.1	0
429.5	474	0
449.5	490.95	0
462.75	508.1	0
446.05	0	0
502	0	0
419.5	453	487.5
414.7	450.55	0
446.9	488.1	519.9
418.8	453.1	0
478	0	0
435.5	488.5	0
432.8	470.8	0
467.15	522.65	0
434.25	0	0
430.2	467.5	0
426.2	467.2	0
478.25	0	0
419.7	457.5	0
417.4	453.05	0
417.95	457.8	0
501.8	0	0
506.85	0	0
408.35	431.35	0
414.3	448.3	0
0	434.8	0
429.95	0	0
441.7	491	0
455.7	501.6	0
447.5	0	0
445.65	0	0
448.6	0	0
445.15	506.5	543.5
527.75	0	0
433.9	475.25	0
426.15	467.5	0
433.95	477.45	0
434.4	482.15	0
432.9	474.25	0
426.75	473.35	0
429.75	0	0
429.25	469.2	0
435.75	0	0
548.1	0	0
437.85	0	0
437	0	0
447.75	0	0
554.85	0	0
562.5	0	0
436.25	0	0
460.4	508.05	0
548.55	0	0
439.7	0	0
434.3	0	0
547.05	0	0
437.7	0	0
545.95	0	0
430.75	481	0
432.5	467.8	0
427.7	470.3	0
440.65	0	0
444.3	0	0
456.85	0	0
444.3	0	0
437.75	0	0
568.15	0	0
438.65	475.5	0
452.05	495.05	0
547.15	0	0
435.5	477.5	0
430.45	461.8	0
529	0	0
431	468	0
430.55	0	0
463.65	501.85	0
452.4	0	0
576.5	0	0
430.5	462	0
427.2	457.8	0
453.1	0	0
458	0	0
431.2	465	0
572.05	0	0
434.55	466.15	0
463.85	564.2	0
0	592	0
441.65	583.95	0
429.05	459.5	0
429.2	460	0
0	0	0
485.8	588	0
430.15	459	0
431.3	458.5	0
483.65	585.95	0
435.2	0	0
436.9	484	0
0	448.5	0
0	453.05	0
0	465.5	0
0	454.8	0
0	551.6	0
449.5	0	0
0	0	0
429.95	0	0
441.7	0	0
445.5	476	0
453.85	0	0
585.7	0	0
454.55	0	0
441.1	470.6	0
532.1	0	0
441.35	469	0
447.1	0	0
