Well_name	X_coord	Y_coord
1079	556139	5002635
108	556234.5	5004963.36
1080	556343	5002676
1080-1H	556481	5002900
1080-4S	556279	5002705
1081	556566	5002793
1081-2H	556562	5002505
1082	556810	5002883
1082-3H	556792	5002775
1082-4S	556738	5002918
1083	557048	5002979
1084	557273	5003125.99
1084-4S	557208	5003145
1087	558222.21	5003505.13
1087-1S	558264	5003566
1087-3	558382.981	5003448.36
1088	558465.21	5003603.5
1088-3	558623.5508	5003549.738
1089	558708.21	5003688.49
1089-4H	558637	5003750
108K	556189.5	5004955
109	556482	5005059.45
1090	558970	5003706
1090-3	559115.5455	5003660.403
1091	556684.62	5002562.01
1091a	556393	5002540.87
1092	556914.93	5002651.21
1094	558295	5003285
1095	558536	5003358
1096	558785.21	5003507
1097	559047	5003507
1097-4H	558946	5003605
11	549087.55	5004603.37
11052	549010.728	5005373.506
11056	550260.728	5005373.506
11088	549504	5005124
111	555518.2705	5004916.751
12	550664.97	5003222.68
12-1	550823	5003240
12-3	550833	5003108.31
13	550441.86	5002983.71
13-3	550553	5002861.82
14	549288.88	5003673.16
14019	542755	5001933
14024	542297	5001388
14026	542257	5001190
14026-1H	542378	5001186
14033-1H	542377	5000935
G141	553462.96	5002222.65
15	553757.42	5004602.35
16	554879.67	5002336.83
17	549278.96	5001817.97
G172	559920.63	5003198.55
18	555400	5003815.9
18-1	555513.15	5003768.28
18-2C	555640	5003640
18-3	555515.26	5003645.28
18-3C	555829	5003641.03
18-4C	555707.17	5003552.63
18C	555659	5003766
19	554907.83	5004825.77
2	549973.29	5004249.14
2-1	550135	5004235
20	557723.4	5004514.52
20-1	557792	5004587
20-3	557953.4955	5004511.938
21	559230.75	5003624.31
G210	553530.32	5003062.51
22	544236.63	5002445.68
22-1H	544282.68	5002571
23	544615.89	5003946.62
24	543703.12	5000553.32
24-1H	543652	5000575
249	549266.1	5004722.5
25	556524.97	5003574.1
26	553760.85	5003471.07
26-1	553870	5003467.5
26-2	553761	5003374.5
26-3	553870	5003343.5
262	548538.1025	5004218
27	552477.11	5003184.09
28	553759.34	5003701.24
28-1	553871.09	5003676.5
28-2	553722	5003575
28-3	553870	5003591.7
29	553760.67	5003239.43
29-3	553870	5003160
3-1	553372.21	5002833.75
3-6	553977	5002928
30	551759	5002732
30-1	551865	5002746
30-1H	551898.1355	5002892.053
30-2H	551979	5002583
30-2S	551759	5002652
30-3	551867.22	5002615.38
30-3S	551744	5002725
3012	547481.0755	5003910
3014	547991.933	5003907
302	544459	5004722
302-3H	544613.098	5004641.478
304	544984.57	5004729.59
305	544973.1	5004984.4
306	544710.9	5005243.5
31	551553.71	5002216.48
31-1	551647.4	5002216.48
31-1-2S	551647	5002216
31-3S	551518	5002217
31-4H	551523	5002364
311-3	544345	5004880
313	544456.6	5004470
32	552559	5002168.23
32-2	552507.41	5002074.31
33	556611.04	5004654.12
33-1	556767.21	5004709.5
33-2	556698.61	5004547.96
33-3	556831.133	5004571.311
34	556118.28	5002421.77
34-3	556120	5002295
35	554449.09	5001735.03
36	553806.89	5002704.67
36-1	553884.86	5002718.7
36-2	553778.17	5002622.56
36-3	553934.53	5002599.29
37	553942	5001973.14
38	557442.04	5003222.95
39-2	557497	5004553
396	543940	5002438
397-1H	544806	5002601
397-3H	544350	5002379
39J	557442.96	5004738.91
3Y-2H	553920	5002983
4-1	551573.5	5004441
4-2	551471.97	5004303.36
4-3	551585	5004313
40	556104.97	5004376.95
40-3	556331.8	5004369.23
400	542497	5001597
400-3	542635	5001499
401	542771.6	5001681.4
403	542997.02	5001356.62
404	542752	5001375
404-1H	542764	5001220
404-3	542898.9	5001282.6
405	542497	5001179.458
405-3	542640.8	5001062.6
4051-1H	542372	5000660
4053	541973	5000435.9
4059	541737.5005	4999928.826
4063	541741.3105	4999693.558
4064	541973	4999689.431
407	543001.8	5001179.5
409	542707.78	5001178.82
409-3	542891.9	5001059.1
410	542496.64	5001370.91
410-3	542651.3	5001279.2
418-3	542644.2805	5000801.316
418A	542512	5000927
419	542768.1	5000931.8
419-3	542891.9	5000818.5
42	555637	5003341.85
420	543001.7855	5000931.808
422	548263.598	5003686.067
43	554691.99	5003471.84
43-2	554721	5003343
43-3	554854.62	5003342.75
430	547248.983	5003177.803
44	551134	5003703.79
440	542496.6	5000686.381
441	542774.5	5000686.4
441-3H	542587	5000588
441-4S	542775	5000688
442	543000	5000688
443	543268.5	5000686.4
449	542497	5000447.938
45	553497.5	5003228.87
45-1	553619	5003223.14
45-3	553618.98	5003091.41
455-1H	542328	5000288
46	553987.3	5003229.8
46-2S	553987	5003222
46-3	554141	5003142.5
47	555757.3	5003893.85
47-1	555879.73	5003907.53
47-2	555754.73	5003771
47-3	555832.34	5003771.35
48	554492	5002736.81
48-2	554497.93	5002619.36
48-3	554593.32	5002622.97
49	555991.2	5003955.54
49-1	556081.27	5003928.36
49-3	556159	5003817
49-4S	555982	5004017
4C	551431.4	5004379.99
4Z-3H	551140	5004380
5	550997.43	5001373.18
50	555991	5003736.9
50-2	556089.13	5003707.26
50-4	556184	5003914
51	555517.7	5003546.29
51-2	555500	5003325
51-3	555645	5003479.28
516	545018	5000126.067
