Sw_1	Sw_2	Sw_3
0.1682731	0.1960938	0
0.22	0.13	0
0.1659149	0.17	0
0.1713559	0.1828108	0
0.1638462	0.1483942	0
0.2283186	0.1596923	0
0.2829762	1	0
0.3071287	1	1
0.2445312	0	0
0	0.2849828	0
0	0.2977169	0
0	0.2344425	0
0	0.33	0
0.3265041	1	0
0.2	1	1
0.2296388	1	1
0.55	1	1
0.3838571	1	1
0.247269	1	1
0.34	0	0
0.2365854	0.25	1
0.1432423	0.2	1
0.1781323	1	0
0.1189933	0.1764103	0
0.1639701	0.2414706	0
0.3411126	1	1
0.3925532	1	0
0.2134973	1	0
0.1922051	0	0
0.4470524	0.5556486	0.9516699
0.4988985	1	0
0.1451587	0.2215873	0
0.1859333	0.1569697	0
0.3413333	0	0
0.2262047	0.6560903	0.9311598
0.2325352	1	1
0.2464082	1	0
0.2093498	1	1
0.1685769	1	0
1	0.8098158	1
0.2052174	1	0
1	0.9449314	1
0.3668814	0	0
0.3699575	1	1
0.366	0	0
0.2331017	1	1
0.4411628	0	0
0.2813333	0	0
0.3342395	0	0
0.2347492	1	1
0.2529032	1	0
1	1	1
0.2310358	0.9420164	1
0.1191322	0.7640607	1
0.3187031	0	0
0.416413	0	0
0.1736517	0.31	0
0.1797763	1	0
0.2442667	1	1
0.1849801	0.3978947	0
0.1626122	0.1910526	0
0.1912294	1	0
0	0.2054902	0
0.3093508	0.290379	0
0.2976562	1	0
0.1578322	0.1827119	0
0.1950602	0.1953521	0
0.2037838	0.19	0
0.150756	0	0
0.3162921	1	0
0	0.3030645	0
0.2618072	0	0
0.1899895	0	0
0.2515435	1	1
0.229377	1	1
0.2352273	0	0
0.2650467	1	1
0.2181538	0	0
0.3061389	1	0
0.3077474	1	0
0.1712228	1	0
0.1254648	0	0
0.2760808	0	0
0.3434583	0	0
0	0.2151077	0
0.23	0	0
0.4569523	0	0
0.2159687	0	0
0.33	0	0
0.3461017	0	0
1	0	0
0.2673937	0	0
0.3684391	0.9999996	1
0.3746867	0	0
0.312954	0.9999986	1
0.2802064	0	0
0.467963	0	0
0.2383374	0	0
0.2679167	0	0
0.2001389	0	0
0.3035294	0	0
0.3047487	0	0
0.2357979	0	0
0.3028571	0	0
0.3625301	0	0
0.1753165	0.2507907	0
0.3691761	0	0
0.3494577	0	0
0.1773239	0.1909195	0
0.1987103	0.1998952	0.9045473
0.2338095	0.2274419	0
0.4524551	0	0
0.1966559	1	0
0.3576608	0	0
0.3750206	0	0
0.3201299	0	0
1	0	0
0.373	0	0
0.3321429	0	0
0.3153701	1	1
0.1764653	1	0
0.2006796	0.21	0
0.2213372	0	0
0.3069017	0	0
0.1780427	0.2	0
0.180036	0.224298	0
0.1353261	0	0
0.187713	0.26	0
0.1509172	0	0
0.2212903	0.21	0
0.1789041	0.1501389	0
0.2024242	0.2584	0
0.2902564	0.2614737	0
0.355	0.2648913	0
0.1779231	0.3	0
0.1563202	0	0
0.2208889	0.2153125	0
1	0.277243	0
0.2713922	0.34	0
0.3498557	1	1
0.435	1	0
0.2275301	0.2	0
0.2443066	0.2046008	0.9040622
0.1735276	0.204	0
0.2047753	0.2710059	0
0.204381	0.2878846	0
0.194902	1	0
0.2489362	0	0
0.402084	1	0
0.1438663	0.3395652	0
0.2072318	0.2920952	0
0.24	0.2612195	0
0.2640652	0	0
0.3536719	0	0
0.14	0.2579775	1
0.19	0.3872131	0
0.2642857	0.2246226	1
0.3418261	0.2397771	0
0.3728846	0	0
0.1945103	1	0
0.1343149	0.48	0
0.2260627	1	0
0.1502083	0	0
0.1769388	0.21	0
0.1142105	0.2294681	0
0.3704598	0	0
0.168	0.2388462	0
0.1865772	0.1633813	0
0.1878947	0.2278539	0
0.3	0	0
0.5495161	0	0
0.2893333	0.2	0
0.212	0.2187013	0
0	0.1974194	0
0.2847863	0	0
0.2120661	1	0
0.1968244	0.2532206	0
0.1753869	0	0
0.1830723	0	0
0.192963	0	0
0.2041281	1	1
1	1	0.9993542
0.170712	1	0
0.2268235	0.45	0
0.1430797	1	0
0.2367624	1	0
0.2247253	1	0
0.1899965	0.236	0
1	0	0
0.1522609	0.3736842	0
0.3805988	0	0
1	0	0
0.1472143	0	0
0.1612468	0	0
0.2024518	0	0
0.165283	0.5434417	0
0.1416104	0	0
0.2778724	0	0
0.2551532	1	0
0.2229462	0.6646323	0
0.3244776	0	0
0.3124	0	0
1	0.722236	0
0.2649315	0	0
0.2329808	0	0
0.14	0.37	0
0.1293143	0.38	0
0.1841955	0.2528421	0
0.1107951	0	0
0.4032468	0	0
0.3084507	0	0
0.2394515	0	0
0.3006034	0	0
0.2278707	0	0
0.2009735	1	0
0.2011592	1	0
0.2170683	1	0
0.209434	0.242	0
0.2890093	0.134	0
1	0.1404721	0
0.32	0.18	0
0.2556614	0	0
0.30016	0.233	0
0.2673991	0	0
0.4927282	0.6561745	0
0.28	0.2089062	0
1	0.3342683	0
0.3151452	0	0
0.2878605	0	0
0.2692771	0.1956863	0
0.2577263	0.4190972	0
0.206129	0.2920588	0
0.2846685	0.2181544	0
0.3901385	0.3346955	0
1	1	0
0.28	0.2245454	0
0.22	0.3058333	0
0.3210236	0.3000123	0
0.2330073	0.2737043	0
0.26	0.2633333	0
0.25	0.2665789	0
1	1	0
0.2479781	0	0
0.331195	0.43	0
0	0.3875138	0
0	0.3140659	0
0	0.371641	0
0	0.3641667	0
0.7207925	1	0
0.290566	0	0
0.3107142	1	0
0.3452601	0	0
0.2343333	0	0
0.3418182	1	0
0.3171103	0	0
0.265631	1	0
0.3160174	0	0
0.2193252	1	0
0.2774864	0.9817597	0
0.3027049	0.39	0
0.1839496	0	0
0.33	0.46	0
0.2995239	0.6607962	0
0.4694887	1	0
0.4111539	1	0
0.37	0.32	0
1	0.3646579	0
0.4603333	0.31	0
0.31	0.3376364	0
0.25	0.33	0
0	0.28	0
0.2737606	0.3131633	0
0.2737606	0.2576786	0
1	1	0
0	0.29	0
0	0.4008036	0
0	0.3517647	0
0.300996	1	0
0.2773038	1	0
0.3384457	0	0
0.230559	0	0
0.3022791	0	0
0.2997431	0.9980576	0
0.3529817	1	0
0.4133333	0	0
0.2556552	0	0
0.1564026	0.7685493	0
0.196349	0.9653604	0
0.2229718	0.9584756	1
0.3996552	0	0
0.3843617	0	0
0.3717647	0	0
0.2520649	0	0
0.2115036	0.9805647	0
0.216595	0	0
0.1474206	0.7059757	0
0.2428457	0.3207553	0
0.2318882	0.2925174	0
0.3044902	0.7529458	0
0.147325	1	0
0.2250755	0	0
0.2814859	0	0
0.286259	0	0
0.1462552	1	0
0.2107951	1	0
0.3314329	0.7881824	0.932816
0.21024	1	0
0.1388587	0.2866667	0
0.22256	0	0
0.2270192	0	0
1	0.665279	0
1	0.9333196	0
0.2237627	0	0
0.21818	0	0
0.2560337	1	0
0.1859836	1	0
0.2144828	0	0
0.2086123	0	0
0.1794958	1	0
0.1685723	0.494	0
0.1534002	0	0
0.1750379	0	0
0.2224224	1	0
0.2202143	1	0
0.2311111	1	0
0.1829553	0	0
0.2038725	0	0
0.1936994	1	0
0.2123343	0	0
0.2146575	0	0
0.2745669	0	0
0.2705188	0	0
0.3073223	0	0
1	0	0
0.2142857	0	0
0.222178	0	0
0.1985327	1	0
0.2450909	0	0
0.1977778	1	0
0.1751807	0	0
0.1980315	1	0
0.1738462	0	0
0.2018621	1	0
0.1696678	0	0
0.205678	0	0
0.202069	0	0
0.1836842	0	0
0.221917	0	0
0.265229	0	0
0.2002423	1	0
0.1907692	0	0
0.2247352	0	0
0.1870498	0	0
0.1927065	0	0
0.1734091	1	0
0.2207918	0	0
0.1957342	0	0
1	0	0
1	0	0
0.3115714	0	0
0.2885556	0	0
0.1830548	1	0
0.3787786	0	0
0.1518021	0.307377	0
0.2134437	0.2133333	0
0.2073869	0	0
0.2026692	0.518	0
0.19375	1	0
0.1834883	1	0
0.1645559	0.2091565	0
0.1491829	0.19	0
0.1577165	0.14	0
0.1638686	0.1	0
0.1692488	0.22	0
0.2295956	0	0
1	0	0
0.4522988	0	0
0.2636051	0	0
0.3021023	0	0
0.2654356	0.5029485	0
0.3177778	0	0
0.261039	0	0
1	1	0
0.2681614	1	0
0.2740258	0.348	0
0.2348373	1	0
0.3961111	0	0
0.331066	1	0
0.3482123	0.295	0
0.3328261	0.8397622	0
1	0.3338053	0
0.4046741	1	0
0.3221419	0	0
0.2500602	0	0
0.2871004	0	0
0.4002913	0.5506927	0.9741698
0.2472961	1	0
0.1448439	0.964646	0
0.3440854	0	0
0.3847015	0	0
0.3436221	0.9973961	0.9998949
0.2282489	1	0
0.2491083	1	0
0.1248169	0.9420883	0
0.3971698	0	0
0.2851197	0	0
0.2843622	0.44	0
0.3059375	0	0
0.3285039	0	0
0.2702128	0	0
0.1840104	0.3124178	0
0.2412925	0	0
0.289469	0	0
0.3105238	0	0
1	0	0
0.1972353	0.1066607	0
0.2754209	0	0
0.2062405	0	0
0.2330938	0	0
0.2329337	0.8590493	0
0.1927049	1	0
0.2676334	1	0
0.1289114	0	0
0.1554796	0.4088624	0
0.242354	0	0
0.2777344	1	0
0.2958494	1	0
0.1652518	1	0
0.2703975	1	0
0.334186	0.8896739	0.9998083
0.4230597	0	0
0.1750331	1	0
0.3096471	0	0
0.3314919	0	0
0.3530667	0	0
0.116971	0	0
0.2046154	0.49	0
1	0.4950292	0
0.2244105	0	0
0.3111009	0	0
0.1200351	0.24	0
0.1965517	0.2022449	0
0.215	0.22	0
0.1412803	0.2395082	0
0.1847368	0	0
0.2135344	1	0
1	1	0
0.1664583	0	0
0.1569601	0	0
0.1895924	0.3330435	0
0.19	0	0
0.1834862	0.2742857	0
0.2416942	0.291	0
0.1749171	0.1819085	0
0.14	0.3038272	0
0.178664	0.15	0
0.15	0.18	0
0.15	0.1808333	0
0.3261474	0	0
0.2878731	0	0
0.2947122	1	0
0.2447795	1	0
0.2885027	1	0
0.2816077	1	0
0.2002088	0.199	0
0.1345195	0.17	0
0.1902289	0	0
0.223155	0.368794	0
0.1651759	1	0
0.3678788	1	0
0.2596739	1	0
0.203771	0.1634643	0
0.2025161	0	0
0.2546025	1	0
0.2975248	1	0
0.3375546	1	0
0.318646	0.9997317	0
0.3237178	0	0
0.2709174	1	0
0.369304	1	0
0.4027715	1	0
0.2721502	1	0
0.3070229	1	0
0.2522891	1	0
0.2586093	1	0
0.3809192	0	0
0.2029577	1	0
0.2717949	0	0
0.2245324	0	0
0.1433746	0.1433654	0
0.1521449	0.2222438	0.9119801
0.1320619	0.2552941	0
0.2305952	0.2319231	0
0.1946494	0.2016923	0
0.228067	0	0
0.2224613	0	0
0.1868251	0.9997504	0
0.1641482	0.2185549	1
0.3455555	0.237	0
0.2730837	0.2161332	0.905307
0.28	0.2757273	0.4688889
0.2466216	0.308008	0
0.2493617	0.2513898	0
0.2418367	0.2424667	0
0.18	0.2866816	0
0.3000278	0.3265781	0
0.2657637	0.3267599	0
0.3246798	0	0
0.2204202	0	0
0.1974977	1	0
0.2364912	1	0
0.3266911	0	0
0.1951136	1	0
0.2259073	0	0
0.2327199	0.4306137	0
0.1627128	0.2994937	0
0.2691228	0.7346154	0
0.2861154	0.4726145	1
0.372191	0.39	0
0.2132432	0.1951923	0
0.1424748	0.7066477	0
0.2330332	0	0
0.1988667	0.153587	0
0.3102372	0.414	0
0.1644554	0.2356	0
0.2477778	0.2155689	0
0.2332389	0	0
0.2293179	0	0
0.2542683	0.2919205	0
0.2412698	0.172	0
0.2211478	0	0
0.2338462	0.2283544	0
0.1677419	0	0
0.3	0.2930882	0
0.2445455	0.1332075	0
0.2819632	1	0
0.3244674	0	0
0.1872961	1	0
0.2596803	0.7063059	0
0.2063677	0.3067397	0
0.2913889	0	0
0.3125652	0.22	0
0.3365872	0.1887716	0
0.1950264	0.2015152	0
0.2409864	0.18	0
0.21	0.18	0
0.1912547	0.1841842	0
0.2531795	0.31	0
0.2094847	0.2896585	1
0.3377202	0.3351724	0
0.2674417	1	0
0.2026515	0.36	0
0.2688542	0.15	0
0.3477907	0.14656	1
0.2481395	0.182	0
0.20948	0.2139837	0
0.1375676	0.1832787	0
0.1763572	0.169	0
0.1539738	0.19	0
0.1734365	0	0
0.1407407	0.1923077	0
0.2152174	0.187381	0
0.1222029	0.2084146	0
0.2048	0.1904598	0
0.2005435	0.2169942	0
0.2151351	0.2238806	0
0.21	0.2241406	0
0	0.2068333	0
0.19	0.2021379	0
0	0.235	0
