K_1	K_2	K_3
0	2721.034	0
501.7928	535.9573	0
587.5358	418.0676	598.2632
562.852	419.8906	598.2632
291.7328	418.0676	598.2632
491.2489	418.0676	598.2632
504.1875	418.0676	598.2632
182.1051	0	0
343.1435	475.3915	237.9673
727.1682	612.8124	964.9067
1118.532	903.8461	0
3626.868	522.9677	0
1864.441	605.306	0
594.3862	475.3723	170.9323
417.2469	649.1239	0
354.7231	158.0308	0
422.44	0	0
355.9854	251.8202	160.8178
413.9478	158.9648	0
2093.551	921.9951	0
2098.433	1564.746	0
238.0906	0	0
419.7904	360.8522	143.2533
1178.941	380.1442	771.8175
523.9387	74.32143	0
3164.746	241.4393	767.6588
4398.173	292.7596	0
1711.706	351.8095	787.0723
437.5341	339.25	0
1204.316	377.608	772.4276
1317.941	0	0
603.6488	0	0
375.269	0	0
509.1201	418.0676	598.2632
95.63051	0	0
891.63	0	0
788.9815	0	0
1424.979	498.6328	855.1101
271.3295	584.9454	0
277.1258	584.7241	862.0225
1294.366	429.616	853.1788
5015.585	452.1321	827.2254
463.8879	0	0
259.9111	0	0
330.3972	443.1055	0
439.4474	710	0
454.9922	336.7264	203
527.1544	280.3542	0
81.54546	170.8155	0
70.78247	33.33	0
0	2144.315	0
794.3282	2620.275	0
2303.904	468.8938	0
158.8312	231.9111	0
163.1566	241.2022	0
175.0405	160.8696	0
446.188	0	0
704.0586	158.3076	0
0	567.9784	0
1564.293	0	0
610.7672	0	0
557.4448	485.256	598.2632
557.272	434.9636	598.2632
852.7609	0	0
1060.036	1016.653	859.52
681.8307	0	0
492.7579	122.1818	0
2269.225	237.3451	0
1479.954	758.1831	0
1764.173	0	0
1551.379	0	0
1226.436	0	0
0	418.0676	0
3438	0	0
279.7426	0	0
5217.839	0	0
1225.252	0	0
182.4847	0	0
302.9597	0	0
1094.149	0	0
756.2389	0	0
571.2919	0	0
334.8622	0	0
305.8741	0	0
227.2416	0	0
209.776	0	0
228.8205	0	0
877.3711	0	0
46.4539	0	0
167.9862	0	0
484.2106	0	0
117.6063	0	0
50.46448	0	0
1914.183	2258.156	0
632.5913	0	0
389.2142	0	0
1018.365	590.4086	0
574.3418	345.6595	63.63454
258.4286	116.3214	0
446.0193	0	0
674.6575	777.0844	0
690.6987	0	0
1842.381	0	0
727.5573	0	0
1827.265	0	0
697.3141	0	0
158.8136	0	0
961.0004	0	0
563.3154	362.0463	0
736.2991	442.3929	0
522.6366	0	0
1438.39	0	0
888.7344	984.392	0
888.6164	979.155	0
411.8585	0	0
640.2402	1191.793	0
864.1296	0	0
721.7205	614	0
1626.136	1847.049	0
2574.747	2295.591	0
3928.579	2907.628	0
5687.5	4191.798	0
713.2589	346.8071	0
741.3658	0	0
1418.633	782.9259	0
596.7132	451.2502	0
1435.468	899	0
843.942	3065.643	724.7794
908.908	317.7031	0
1616.055	935.0671	0
1096.624	754.7632	0
166.6196	212.8421	0
2760.792	3481.95	0
1553.981	1939.953	0
4599.861	5797.25	0
188.6558	0	0
285.4809	928.809	0
627.6912	528.5856	0
1057.038	917.2672	0
1143.636	1093.409	0
741.898	0	0
335.5133	0	0
1546.494	1931.278	241.9167
2096	542.8416	0
2323.714	4339.727	203
183.413	260.0064	0
297.4231	0	0
457.098	279.3719	0
895.5831	269	0
194.0513	154.396	0
825.5938	0	0
478.0449	1293.258	0
1027.249	1415.84	0
138.1149	0	0
825.2762	615.7772	0
