Ql	Qo	Qz	c
3035.147	2962.713	-3041.667	0.02386517
3034.995	3034.995	-3041.667	0
3034.995	3034.995	-3041.667	3.330669e-16
3034.995	3034.995	-3041.667	0
3034.995	3034.995	-3041.667	-6.661338e-16
3034.995	3034.995	-3041.667	5.551115e-16
3034.995	3034.995	-3041.667	0
3034.995	3034.995	-3041.667	0
3034.995	3034.995	-3041.667	0
3034.995	3034.995	-3041.667	0
3034.995	3034.995	-3041.667	-2.442491e-15
3034.995	3034.995	-3041.667	0
3034.995	3034.995	-3041.667	2.442491e-15
3034.995	3034.995	-3041.667	0
3034.995	3034.995	-3041.667	2.442491e-15
3034.995	3034.995	-3041.667	1.601386e-12
3034.995	3034.995	-3041.667	5.586698e-10
3034.995	3034.995	-3041.667	7.750673e-08
3034.995	3034.98	-3041.667	5.050043e-06
3034.996	3034.459	-3041.667	0.0001769746
3035.017	3023.956	-3041.667	0.003644681
3035.14	2962.244	-3041.667	0.0240173
3035.022	3021.662	-3041.667	0.00440182
3035.301	2881.627	-3041.667	0.05062886
3035.449	2807.579	-3041.667	0.07506967
3035.414	2826.983	-3041.667	0.06866621
3035.622	2721.146	-3041.667	0.1035951
3035.39	2840.111	-3041.667	0.06433405
3035.385	2842.072	-3041.667	0.06368665
3035.487	2793.242	-3041.667	0.07980438
3035.452	2809.182	-3041.667	0.07454245
3035.533	2769.107	-3041.667	0.08776908
3035.626	2723.734	-3041.667	0.1027438
3035.525	2773.657	-3041.667	0.08626753
3035.83	2619.475	-3041.667	0.1371468
3035.673	2699.646	-3041.667	0.1106928
3035.669	2704.344	-3041.667	0.1091438
3035.76	2661.517	-3041.667	0.1232781
3035.805	2641.629	-3041.667	0.1298421
3035.747	2673.914	-3041.667	0.1191907
3035.895	2602.202	-3041.667	0.1428551
3035.906	2599.426	-3041.667	0.1437727
3036.112	2498.605	-3041.667	0.177038
3036.138	2488.211	-3041.667	0.1804684
3036.136	2491.873	-3041.667	0.1792619
3036.284	2420.07	-3041.667	0.2029502
3036.361	2384.076	-3041.667	0.2148244
3036.476	2329.357	-3041.667	0.2328748
3036.739	2198.431	-3041.667	0.2760554
3036.559	2291.918	-3041.667	0.2452253
3036.917	2114.105	-3041.667	0.3038644
3036.724	2214.085	-3041.667	0.2708967
3036.788	2183.923	-3041.667	0.2808447
3036.757	2202.161	-3041.667	0.2748314
3036.86	2152.881	-3041.667	0.2910831
3036.892	2139.475	-3041.667	0.2955049
3037	2087.448	-3041.667	0.3126611
3037.017	2081.311	-3041.667	0.3146858
3037.14	2021.69	-3041.667	0.3343441
3037.197	1995.429	-3041.667	0.3430031
3037.262	1965.559	-3041.667	0.3528515
3037.335	1931.178	-3041.667	0.3641868
3037.463	1869.948	-3041.667	0.3843717
3037.446	1882.12	-3041.667	0.3803609
3037.587	1815.404	-3041.667	0.4023534
3037.634	1798.973	-3041.667	0.4077716
3037.732	1759.53	-3041.667	0.4207753
3037.844	1718.708	-3041.667	0.4342343
3037.904	1712.056	-3041.667	0.436435
3037.98	1707.073	-3041.667	0.4380893
3038.205	1631.926	-3041.667	0.4628652
3038.356	1602.039	-3041.667	0.4727285
3038.537	1557.527	-3041.667	0.4874088
3038.658	1543.863	-3041.667	0.4919259
3038.823	1496.065	-3041.667	0.5076827
3039.004	1427.463	-3041.667	0.5302859
3039.107	1395.897	-3041.667	0.5406884
3039.219	1349.466	-3041.667	0.5559826
3039.296	1319.54	-3041.667	0.5658402
3039.383	1278.056	-3041.667	0.5795014
3039.442	1250.391	-3041.667	0.5886115
3039.514	1211.156	-3041.667	0.6015296
3039.571	1179.216	-3041.667	0.6120452
3039.627	1146.62	-3041.667	0.6227762
3039.68	1113.94	-3041.667	0.6335337
3039.725	1085.004	-3041.667	0.6430584
3039.766	1058.152	-3041.667	0.6518968
3039.807	1030.519	-3041.667	0.6609918
3039.837	1009.501	-3041.667	0.6679096
3039.868	987.1484	-3041.667	0.675266
3039.898	965.1032	-3041.667	0.6825212
3039.929	942.7414	-3041.667	0.6898804
3039.956	922.0258	-3041.667	0.6966977
3039.982	902.0605	-3041.667	0.7032679
3040.006	883.8865	-3041.667	0.7092484
3040.029	865.7222	-3041.667	0.7152257
3040.051	848.7641	-3041.667	0.7208059
3040.071	832.7152	-3041.667	0.7260869
3040.09	816.9341	-3041.667	0.7312797
3040.109	801.9149	-3041.667	0.7362217
3040.126	787.5836	-3041.667	0.7409372
3040.144	773.7828	-3041.667	0.7454782
3040.16	760.17	-3041.667	0.7499573
3040.176	747.4803	-3041.667	0.7541325
3040.191	735.08	-3041.667	0.7582126
3040.205	723.1041	-3041.667	0.7621529
3040.219	711.5299	-3041.667	0.765961
3040.233	700.3357	-3041.667	0.7696441
3040.246	689.4909	-3041.667	0.7732121
3040.258	678.9855	-3041.667	0.7766685
3040.271	668.8468	-3041.667	0.7800042
3040.282	658.8271	-3041.667	0.7833007
3040.294	649.2866	-3041.667	0.7864395
3040.305	639.9482	-3041.667	0.7895119
3040.316	630.8696	-3041.667	0.7924987
3040.326	622.032	-3041.667	0.7954062
3040.337	613.4301	-3041.667	0.7982361
3040.347	605.0505	-3041.667	0.800993
3040.356	596.8835	-3041.667	0.8036798
3040.366	588.9233	-3041.667	0.8062986
3040.375	581.1556	-3041.667	0.808854
3040.384	573.58	-3041.667	0.8113462
3040.393	566.1832	-3041.667	0.8137796
3040.402	558.9615	-3041.667	0.8161554
3040.41	551.9081	-3041.667	0.8184757
3040.418	545.0147	-3041.667	0.8207435
3040.426	538.2797	-3041.667	0.8229591
3040.434	531.6927	-3041.667	0.8251261
3040.442	525.2531	-3041.667	0.8272445
3040.449	518.9532	-3041.667	0.8293169
3040.457	512.7888	-3041.667	0.8313448
3040.464	506.7575	-3041.667	0.8333289
3040.471	500.8507	-3041.667	0.835272
3040.478	495.0699	-3041.667	0.8371736
3040.485	489.407	-3041.667	0.8390365
3040.491	483.8604	-3041.667	0.8408611
3040.498	478.4265	-3041.667	0.8426486
3040.504	473.1	-3041.667	0.8444008
3040.51	467.8812	-3041.667	0.8461176
3040.516	462.7632	-3041.667	0.8478011
3040.522	457.7462	-3041.667	0.8494515
3040.528	452.8255	-3041.667	0.8510701
3040.534	447.9985	-3041.667	0.852658
3040.54	443.2642	-3041.667	0.8542153
3040.545	438.6168	-3041.667	0.8557441
3040.551	434.0579	-3041.667	0.8572437
3040.556	429.5818	-3041.667	0.8587161
3040.562	425.1881	-3041.667	0.8601613
3040.567	420.8744	-3041.667	0.8615803
3040.572	416.6371	-3041.667	0.8629741
3040.577	412.4771	-3041.667	0.8643425
3040.582	408.3901	-3041.667	0.8656869
3040.587	404.3765	-3041.667	0.8670071
3040.592	400.4329	-3041.667	0.8683043
3040.596	396.5576	-3041.667	0.869579
3040.601	392.7501	-3041.667	0.8708314
3040.606	389.0059	-3041.667	0.872063
3040.61	385.3267	-3041.667	0.8732732
3040.615	381.7083	-3041.667	0.8744634
3040.619	378.1502	-3041.667	0.8756338
3040.623	374.6512	-3041.667	0.8767847
3040.627	371.2083	-3041.667	0.8779172
3040.632	367.8225	-3041.667	0.8790309
3040.636	364.4899	-3041.667	0.8801271
3040.64	361.2113	-3041.667	0.8812055
3040.644	357.9842	-3041.667	0.8822669
3040.648	354.8077	-3041.667	0.8833118
3040.652	351.6819	-3041.667	0.8843399
3040.655	348.6038	-3041.667	0.8853524
3040.659	345.5748	-3041.667	0.8863487
3040.663	342.5916	-3041.667	0.8873299
3040.667	339.6541	-3041.667	0.8882962
3040.67	336.7611	-3041.667	0.8892477
3040.674	333.9106	-3041.667	0.8901853
3040.677	331.1035	-3041.667	0.8911086
3040.681	328.3365	-3041.667	0.8920187
3040.684	325.6107	-3041.667	0.8929153
3040.687	322.9242	-3041.667	0.8937989
3040.691	320.276	-3041.667	0.89467
3040.694	317.6663	-3041.667	0.8955284
3040.697	315.0923	-3041.667	0.8963749
3040.7	312.5558	-3041.667	0.8972093
3040.704	310.054	-3041.667	0.8980321
3040.707	307.5872	-3041.667	0.8988435
3040.71	305.1546	-3041.667	0.8996436
3040.713	302.7547	-3041.667	0.9004329
3040.716	300.3884	-3041.667	0.9012113
3040.719	298.0532	-3041.667	0.9019794
3040.722	295.75	-3041.667	0.9027369
3040.725	293.4774	-3041.667	0.9034844
3040.727	291.2348	-3041.667	0.904222
3040.73	289.0224	-3041.667	0.9049497
3040.733	286.838	-3041.667	0.9056681
3040.736	284.6832	-3041.667	0.9063769
3040.739	282.5557	-3041.667	0.9070766
3040.741	280.4559	-3041.667	0.9077672
3040.744	278.3832	-3041.667	0.908449
3040.746	276.3364	-3041.667	0.9091222
3040.749	274.3163	-3041.667	0.9097866
3040.751	272.321	-3041.667	0.9104429
3040.754	270.3512	-3041.667	0.9110907
3040.757	268.4058	-3041.667	0.9117306
3040.759	266.4844	-3041.667	0.9123625
3040.761	264.5873	-3041.667	0.9129865
3040.764	262.7126	-3041.667	0.9136031
3040.766	260.8616	-3041.667	0.9142119
3040.769	259.0327	-3041.667	0.9148135
3040.771	257.226	-3041.667	0.9154077
3040.773	255.4412	-3041.667	0.9159946
3040.776	253.6772	-3041.667	0.9165748
3040.778	251.9349	-3041.667	0.9171479
3040.78	250.2126	-3041.667	0.9177143
3040.782	248.5111	-3041.667	0.918274
3040.785	246.8294	-3041.667	0.9188271
3040.787	245.1671	-3041.667	0.9193738
3040.789	243.5246	-3041.667	0.919914
3040.791	241.9002	-3041.667	0.9204482
3040.793	240.2953	-3041.667	0.9209761
3040.795	238.7083	-3041.667	0.9214981
3040.797	237.1395	-3041.667	0.922014
3040.799	235.5886	-3041.667	0.9225241
3040.802	234.0548	-3041.667	0.9230286
3040.803	232.5387	-3041.667	0.9235272
3040.805	231.039	-3041.667	0.9240205
3040.807	229.5564	-3041.667	0.9245081
3040.809	228.09	-3041.667	0.9249904
3040.811	226.6396	-3041.667	0.9254674
3040.813	225.2055	-3041.667	0.9259391
3040.815	223.7864	-3041.667	0.9264058
3040.817	222.3833	-3041.667	0.9268672
3040.819	220.995	-3041.667	0.9273239
3040.821	219.6217	-3041.667	0.9277755
3040.822	218.2632	-3041.667	0.9282223
3040.824	216.9189	-3041.667	0.9286644
3040.826	215.5893	-3041.667	0.9291018
3040.828	214.2732	-3041.667	0.9295346
3040.829	212.9713	-3041.667	0.9299628
3040.831	211.6829	-3041.667	0.9303865
3040.833	210.4079	-3041.667	0.9308059
3040.834	209.1463	-3041.667	0.9312208
3040.836	207.8972	-3041.667	0.9316316
3040.838	206.6616	-3041.667	0.9320379
