Ql	Qo	Qz	c
19842.47	4385.37	-20000	0.7789908
19997.64	4419.592	-20000	0.7789943
19996.84	4419.619	-20000	0.7789841
19995.92	4419.983	-20000	0.7789558
19994.65	4422.136	-20000	0.778834
19992.74	4429.754	-20000	0.7784319
19989.85	4450.377	-20000	0.7773681
19985.32	4498.05	-20000	0.7749323
19978.47	4598.419	-20000	0.7698313
19968.74	4795.683	-20000	0.7598405
19956.71	5156.034	-20000	0.7416391
19944.46	5746.15	-20000	0.7118925
19934.29	6586.118	-20000	0.6696086
19930.01	7630.47	-20000	0.6171367
19946.11	8566.892	-20000	0.5704982
19974.35	9008.354	-20000	0.549004
19995.02	9091.764	-20000	0.5452986
20007.2	8982.461	-20000	0.5510386
20019.44	8716.687	-20000	0.5645888
20030.27	8218.806	-20000	0.5896808
20032.26	7634.893	-20000	0.6188702
20029.93	7108.815	-20000	0.6450904
20026.94	6662.747	-20000	0.6673108
20024.22	6283.067	-20000	0.6862267
20021.88	5954.351	-20000	0.7026079
20019.89	5665.752	-20000	0.7169939
20018.18	5409.218	-20000	0.7297847
20016.7	5178.844	-20000	0.7412738
20015.4	4970.419	-20000	0.7516703
20014.27	4780.601	-20000	0.7611403
20013.26	4606.704	-20000	0.7698174
20012.36	4446.792	-20000	0.7777977
20011.56	4298.991	-20000	0.7851746
20010.84	4161.98	-20000	0.7920137
20010.19	4034.435	-20000	0.798381
20009.61	3915.344	-20000	0.8043268
20009.07	3803.834	-20000	0.8098945
20008.59	3699.151	-20000	0.8151218
20005.28	3605.635	-20000	0.8197658
20000.39	3584.16	-20000	0.8207955
20004.85	3485.998	-20000	0.8257424
20007.78	3421.607	-20000	0.8289861
20007.07	3297.16	-20000	0.8352003
20006.93	3271.047	-20000	0.8365043
20006.31	3132.189	-20000	0.8434399
20006.26	3121.174	-20000	0.8439901
20005.74	3000.263	-20000	0.8500299
20005.65	2978.795	-20000	0.8511024
20007.27	2880.551	-20000	0.8560248
20008.49	2806.282	-20000	0.8597454
20011.73	2748.101	-20000	0.8626755
20001.36	2671.292	-20000	0.8664445
20000.9	2653.56	-20000	0.867328
20000.9	2653.56	-20000	0.867328
20002.22	2610.007	-20000	0.8695142
20005.93	2487.824	-20000	0.8756457
20005.93	2487.824	-20000	0.8756457
20014.16	2433.865	-20000	0.8783928
20001.48	2327.065	-20000	0.8836554
20000.56	2316.664	-20000	0.8841701
20000.51	2315.892	-20000	0.8842083
20000.51	2315.892	-20000	0.8842083
20003.62	2236.536	-20000	0.8881934
20006.1	2173.352	-20000	0.8913655
20009.54	2165.538	-20000	0.8917747
20001.53	2092.494	-20000	0.8953833
20000.71	2078.064	-20000	0.8961005
20000.74	2076.2	-20000	0.8961938
20001.5	2015.581	-20000	0.8992285
20001.5	2015.581	-20000	0.8992285
20001.5	2015.581	-20000	0.8992285
20001.5	2015.581	-20000	0.8992285
20008.75	1879.6	-20000	0.9060611
20006.35	1884.693	-20000	0.9057953
20001.3	1844.181	-20000	0.9077969
20000.79	1831.708	-20000	0.9084182
20000.78	1805.458	-20000	0.9097306
20000.77	1797.807	-20000	0.9101131
20000.77	1797.807	-20000	0.9101131
20000.77	1797.807	-20000	0.9101131
20002	1767.371	-20000	0.9116403
20005.71	1675.144	-20000	0.9162667
20006.43	1688.402	-20000	0.915607
20001.3	1649.94	-20000	0.9175084
20000.73	1629.305	-20000	0.9185377
20000.7	1626.742	-20000	0.9186658
20000.66	1597.538	-20000	0.9201257
20000.66	1597.538	-20000	0.9201257
20000.66	1597.538	-20000	0.9201257
20000.66	1597.538	-20000	0.9201257
20000.67	1597.24	-20000	0.9201407
20006.94	1477.025	-20000	0.9261743
20004.37	1500.24	-20000	0.9250044
20001.05	1474.895	-20000	0.9262591
20000.52	1458.331	-20000	0.9270853
20000.46	1456.625	-20000	0.9271704
20000.54	1441.945	-20000	0.9279047
20000.62	1424.262	-20000	0.9287891
20000.62	1424.262	-20000	0.9287891
20000.62	1424.262	-20000	0.9287891
20000.62	1424.262	-20000	0.9287891
20000.62	1424.262	-20000	0.9287891
20004.07	1337.068	-20000	0.9331602
20004.68	1326.307	-20000	0.9337001
20002.31	1335.641	-20000	0.9332256
20000.74	1307.878	-20000	0.9346085
20000.39	1295.704	-20000	0.9352161
20000.25	1291.234	-20000	0.9354391
20000.25	1291.234	-20000	0.9354391
20000.25	1291.234	-20000	0.9354391
20000.25	1291.234	-20000	0.9354391
20000.7	1254.949	-20000	0.9372547
20000.91	1237.437	-20000	0.938131
20000.91	1237.437	-20000	0.938131
20000.91	1237.437	-20000	0.938131
20000.91	1237.437	-20000	0.938131
20000.91	1237.437	-20000	0.938131
20002.06	1204.5	-20000	0.9397812
20004.29	1141.029	-20000	0.9429608
20003.12	1165.433	-20000	0.9417374
20000.87	1149.695	-20000	0.9425178
20000.54	1136.18	-20000	0.9431925
20000.25	1125.329	-20000	0.9437342
20000.22	1124.455	-20000	0.9437779
20000.22	1124.455	-20000	0.9437779
20000.22	1124.455	-20000	0.9437779
20000.23	1123.39	-20000	0.9438312
20000.61	1084.969	-20000	0.9457532
20000.61	1084.969	-20000	0.9457532
20000.61	1084.969	-20000	0.9457532
20000.61	1084.969	-20000	0.9457532
20000.61	1084.969	-20000	0.9457532
20000.61	1084.969	-20000	0.9457532
20000.61	1084.969	-20000	0.9457532
20002.8	1019.436	-20000	0.9490353
20003.63	994.6506	-20000	0.9502765
20001.79	1027.501	-20000	0.9486296
20000.67	1006.489	-20000	0.9496773
20000.44	996.0076	-20000	0.9502007
20000.22	987.0525	-20000	0.950648
20000.19	985.6443	-20000	0.9507182
20000.19	985.6443	-20000	0.9507182
20000.19	985.6443	-20000	0.9507182
20000.19	985.6443	-20000	0.9507182
20000.38	961.5118	-20000	0.9519253
20000.44	954.4476	-20000	0.9522787
20000.44	954.4476	-20000	0.9522787
