Ql	Qo	Qz	c
200	200	-200	0
200	200	-200	0
200	200	-200	4.802473e-10
200	200	-200	4.802462e-10
200	200	-200	3.640281e-08
200	200	-200	4.126102e-08
200	199.9999	-200	6.527093e-07
200	199.9998	-200	8.405399e-07
200	199.9992	-200	4.045268e-06
200	199.9989	-200	5.586324e-06
200	199.9971	-200	1.47023e-05
200	199.996	-200	2.01657e-05
200	199.9927	-200	3.645093e-05
200	199.9906	-200	4.722058e-05
200	199.9862	-200	6.901735e-05
200	199.9832	-200	8.42497e-05
200	199.9778	-200	0.0001107936
200	199.974	-200	0.0001301275
200	199.9679	-200	0.0001606878
200	199.9633	-200	0.0001837102
200	199.9565	-200	0.0002176316
200	199.9512	-200	0.0002439025
200	199.9439	-200	0.0002805631
200	199.9381	-200	0.0003095525
200	199.9303	-200	0.0003483943
200	199.9241	-200	0.000379661
200	199.916	-200	0.0004201503
200	199.9094	-200	0.0004532157
200	199.901	-200	0.0004949016
200	199.8941	-200	0.0005293305
200	199.8856	-200	0.0005718156
200	199.8786	-200	0.0006071802
200	199.8699	-200	0.0006503593
200	199.8627	-200	0.0006865089
200	199.8539	-200	0.0007307245
200	199.8464	-200	0.0007678822
200	199.8374	-200	0.0008128542
200	199.8298	-200	0.000850718
200	199.8207	-200	0.0008962643
200	199.8131	-200	0.0009346118
200	199.804	-200	0.0009799185
200	199.7964	-200	0.001018003
200	199.7872	-200	0.001063768
200	199.7796	-200	0.001102114
200	199.7706	-200	0.001147195
200	199.763	-200	0.00118479
200	199.7541	-200	0.001229428
200	199.7467	-200	0.001266425
200	199.738	-200	0.001309998
200	199.7308	-200	0.001345837
200	199.7223	-200	0.001388291
200	199.7154	-200	0.0014229
200	199.7072	-200	0.001464213
200	199.7005	-200	0.001497549
200	199.6925	-200	0.001537721
200	199.6861	-200	0.001569768
200	199.6782	-200	0.001608815
200	199.6721	-200	0.001639576
200	199.6645	-200	0.001677527
200	199.6586	-200	0.001707019
200	199.6512	-200	0.001743915
200	199.6456	-200	0.001772168
200	199.6384	-200	0.001808055
200	199.633	-200	0.001835107
200	199.626	-200	0.001870035
200	199.6208	-200	0.001895929
200	199.614	-200	0.001929952
200	199.6091	-200	0.001954737
200	199.6024	-200	0.001987908
200	199.5977	-200	0.002011631
200	199.5912	-200	0.002044004
200	199.5867	-200	0.002066715
200	199.5803	-200	0.002098342
200	199.576	-200	0.002120088
200	199.5698	-200	0.00215102
200	199.5656	-200	0.002171847
200	199.5596	-200	0.002202129
200	199.5556	-200	0.002222081
200	199.5497	-200	0.002251758
200	199.5458	-200	0.002270878
200	199.54	-200	0.002299999
200	199.5363	-200	0.002318332
200	199.5306	-200	0.00234692
200	199.5271	-200	0.002364493
200	199.5215	-200	0.002392728
200	199.5181	-200	0.002409664
200	199.5125	-200	0.00243742
200	199.5093	-200	0.002453654
200	199.5038	-200	0.002480958
200	199.5007	-200	0.002496517
200	199.4953	-200	0.002523391
200	199.4923	-200	0.002538299
200	199.487	-200	0.00256476
200	199.4842	-200	0.002579042
200	199.479	-200	0.002605103
200	199.4762	-200	0.00261878
200	199.4711	-200	0.002644453
200	199.4685	-200	0.002657544
200	199.4634	-200	0.002682839
200	199.4609	-200	0.00269536
200	199.4559	-200	0.002720283
200	199.4536	-200	0.002732252
