Ql	Qo	Qz	c
463.9467	244.6481	-40.3741	0.4726807
584.0201	209.059	-31.01573	0.6420346
1142.44	143.5787	-28.67128	0.8743228
881.3904	83.72401	-26.4064	0.9050092
531.6763	75.52186	-24.2028	0.8579552
505.1255	74.89914	-24.0355	0.8517217
379.0579	99.7464	-22.88627	0.7368571
285.8844	118.1104	-22.0369	0.5868595
285.8844	118.1104	-22.0369	0.5868595
285.8844	118.1104	-22.0369	0.5868595
285.8844	118.1104	-22.0369	0.5868595
285.8844	118.1104	-22.0369	0.5868595
285.8844	118.1104	-22.0369	0.5868595
368.6339	108.6173	-21.35819	0.7053519
407.3622	104.1743	-21.04054	0.7442711
407.3622	104.1743	-21.04054	0.7442711
397.2063	103.4177	-21.09197	0.7396373
386.3632	102.61	-21.14688	0.734421
386.3632	102.61	-21.14688	0.734421
386.3632	102.61	-21.14688	0.734421
385.5618	100.7674	-21.45342	0.7386479
385.5017	100.6292	-21.47641	0.7389656
385.5017	100.6292	-21.47641	0.7389656
386.9161	99.41308	-21.64014	0.7430629
389.3822	97.29253	-21.92562	0.7501361
389.3822	97.29253	-21.92562	0.7501361
389.3822	97.29253	-21.92562	0.7501361
382.9724	95.44569	-22.36881	0.7507765
382.0487	95.17955	-22.43268	0.7508706
382.0487	95.17955	-22.43268	0.7508706
379.3954	94.79041	-22.59136	0.7501541
372.9083	93.83894	-22.97933	0.7483592
372.9083	93.83894	-22.97933	0.7483592
372.9083	93.83894	-22.97933	0.7483592
368.3872	93.13549	-23.31114	0.7471804
365.3157	92.65759	-23.53656	0.746363
365.3157	92.65759	-23.53656	0.746363
365.3157	92.65759	-23.53656	0.746363
359.4753	91.83964	-23.98198	0.7445175
358.1709	91.65696	-24.08146	0.7440971
358.1709	91.65696	-24.08146	0.7440971
358.1709	91.65696	-24.08146	0.7440971
351.8167	90.87167	-24.56798	0.7417074
351.5348	90.83682	-24.58956	0.7415994
351.5348	90.83682	-24.58956	0.7415994
351.4324	90.82393	-24.59876	0.7415608
345.776	90.11163	-25.10679	0.739393
345.776	90.11163	-25.10679	0.739393
345.776	90.11163	-25.10679	0.739393
345.7357	90.10629	-25.11044	0.7393782
340.7798	89.44837	-25.55937	0.7375185
340.7798	89.44837	-25.55937	0.7375185
340.7798	89.44837	-25.55937	0.7375185
340.7798	89.44837	-25.55937	0.7375185
336.677	88.87482	-25.98003	0.7360235
336.3984	88.83588	-26.00859	0.7359207
336.3984	88.83588	-26.00859	0.7359207
336.3984	88.83588	-26.00859	0.7359207
333.2762	88.37035	-26.36477	0.7348434
332.5398	88.26057	-26.44877	0.7345864
332.5398	88.26057	-26.44877	0.7345864
332.5398	88.26057	-26.44877	0.7345864
330.3596	87.91666	-26.73264	0.7338759
329.0901	87.7164	-26.89794	0.7334578
329.0901	87.7164	-26.89794	0.7334578
329.0901	87.7164	-26.89794	0.7334578
327.8058	87.506	-27.06677	0.7330554
325.9527	87.20244	-27.31035	0.732469
325.9527	87.20244	-27.31035	0.732469
325.9527	87.20244	-27.31035	0.732469
325.5358	87.13236	-27.37069	0.7323416
323.068	86.71759	-27.72784	0.731581
323.068	86.71759	-27.72784	0.731581
323.068	86.71759	-27.72784	0.731581
323.068	86.71759	-27.72784	0.731581
320.8259	86.33321	-28.10314	0.7309032
320.3994	86.26009	-28.17454	0.7307732
320.3994	86.26009	-28.17454	0.7307732
320.3994	86.26009	-28.17454	0.7307732
319.1652	86.04449	-28.38129	0.7304077
317.9239	85.82765	-28.58923	0.7300372
317.9239	85.82765	-28.58923	0.7300372
317.9239	85.82765	-28.58923	0.7300372
317.6438	85.77767	-28.64116	0.7299564
315.6256	85.41757	-29.01529	0.7293706
315.6256	85.41757	-29.01529	0.7293706
315.6256	85.41757	-29.01529	0.7293706
315.6256	85.41757	-29.01529	0.7293706
314.1046	85.13956	-29.31231	0.7289453
313.4899	85.0272	-29.43236	0.7287722
313.4899	85.0272	-29.43236	0.7287722
313.4899	85.0272	-29.43236	0.7287722
312.9504	84.92599	-29.54137	0.7286279
311.5016	84.65423	-29.83409	0.7282382
311.5016	84.65423	-29.83409	0.7282382
311.5016	84.65423	-29.83409	0.7282382
311.5016	84.65423	-29.83409	0.7282382
310.0141	84.36784	-30.1615	0.7278581
309.6451	84.29681	-30.2427	0.7277632
309.6451	84.29681	-30.2427	0.7277632
309.6451	84.29681	-30.2427	0.7277632
309.117	84.19259	-30.37456	0.7276351
307.9052	83.95348	-30.67709	0.7273398
307.9052	83.95348	-30.67709	0.7273398
307.9052	83.95348	-30.67709	0.7273398
307.9052	83.95348	-30.67709	0.7273398
306.628	83.69594	-31.02601	0.727044
306.267	83.62315	-31.12464	0.7269599
306.267	83.62315	-31.12464	0.7269599
306.267	83.62315	-31.12464	0.7269599
305.9093	83.54969	-31.22402	0.7268808
304.7175	83.30491	-31.55519	0.726616
304.7175	83.30491	-31.55519	0.726616
304.7175	83.30491	-31.55519	0.726616
304.7175	83.30491	-31.55519	0.726616
303.7485	83.10293	-31.86727	0.7264088
303.2454	82.99805	-32.02931	0.7263007
303.2454	82.99805	-32.02931	0.7263007
303.2454	82.99805	-32.02931	0.7263007
303.1572	82.97945	-32.05576	0.7262824
301.8409	82.70194	-32.45032	0.7260081
301.8409	82.70194	-32.45032	0.7260081
301.8409	82.70194	-32.45032	0.7260081
301.8409	82.70194	-32.45032	0.7260081
301.2419	82.57458	-32.62998	0.7258861
300.4961	82.41603	-32.85365	0.7257335
300.4961	82.41603	-32.85365	0.7257335
300.4961	82.41603	-32.85365	0.7257335
300.4961	82.41603	-32.85365	0.7257335
299.454	82.19315	-33.15706	0.7255232
299.2045	82.13981	-33.22969	0.7254727
299.2045	82.13981	-33.22969	0.7254727
299.2045	82.13981	-33.22969	0.7254727
299.0208	82.10036	-33.28652	0.725436
297.961	81.87281	-33.61439	0.7252231
297.961	81.87281	-33.61439	0.7252231
297.961	81.87281	-33.61439	0.7252231
297.961	81.87281	-33.61439	0.7252231
297.3987	81.75179	-33.80083	0.7251105
296.7613	81.61459	-34.01217	0.7249823
296.7613	81.61459	-34.01217	0.7249823
296.7613	81.61459	-34.01217	0.7249823
296.7613	81.61459	-34.01217	0.7249823
295.8683	81.42215	-34.31834	0.7248027
295.602	81.36475	-34.40967	0.724749
295.602	81.36475	-34.40967	0.724749
295.602	81.36475	-34.40967	0.724749
295.5427	81.35194	-34.43048	0.724737
294.4807	81.12286	-34.80284	0.7245223
294.4807	81.12286	-34.80284	0.7245223
294.4807	81.12286	-34.80284	0.7245223
294.4807	81.12286	-34.80284	0.7245223
294.1363	81.04852	-34.93508	0.7244526
293.3952	80.8885	-35.21973	0.7243019
293.3952	80.8885	-35.21973	0.7243019
293.3952	80.8885	-35.21973	0.7243019
293.3952	80.8885	-35.21973	0.7243019
292.803	80.76045	-35.45063	0.7241817
292.3445	80.66129	-35.62943	0.7240882
292.3445	80.66129	-35.62943	0.7240882
292.3445	80.66129	-35.62943	0.7240882
292.3445	80.66129	-35.62943	0.7240882
291.5384	80.48656	-35.93668	0.7239247
291.3273	80.4408	-36.01715	0.7238817
291.3273	80.4408	-36.01715	0.7238817
291.3273	80.4408	-36.01715	0.7238817
