Ql	Qo	Qz	c
27465.04	22511.39	-25000	0.1803619
27782.98	19853.73	-25000	0.2853994
28954.72	16485.48	-25000	0.4306461
30153.14	13888.62	-25000	0.5393973
31294.33	12333.71	-25000	0.6058803
32372.07	11128.25	-25000	0.6562393
33394.76	10321.65	-25000	0.6909201
34380.98	9687.371	-25000	0.7182346
35344.59	9191.89	-25000	0.739935
36272.55	8793.738	-25000	0.7575649
37149.25	8455.597	-25000	0.7723885
38013.81	8163.534	-25000	0.7852482
38855.77	7875.441	-25000	0.797316
39682.34	7600.11	-25000	0.8084763
40493.84	7342.253	-25000	0.8186822
41291.78	7057.219	-25000	0.829089
42080.23	6876.569	-25000	0.8365843
42852.44	6697.323	-25000	0.843712
43616.61	6532.91	-25000	0.8502197
44365.87	6417.497	-25000	0.8553506
45107.57	6305.616	-25000	0.8602094
45841.56	6210.033	-25000	0.8645327
46568.61	6065.943	-25000	0.8697418
47287.57	5927.394	-25000	0.8746521
47996.92	5862.436	-25000	0.8778581
48697.39	5732.767	-25000	0.8822777
49388.48	5647.494	-25000	0.8856516
50075.74	5547.441	-25000	0.889219
50757.48	5435.185	-25000	0.8929185
51439.02	5342.712	-25000	0.896135
52103.35	5275.784	-25000	0.8987439
52770.73	5192.062	-25000	0.901611
53431.31	5092.134	-25000	0.9046975
54093.73	5032.715	-25000	0.9069631
54753.18	4901.045	-25000	0.9104884
55405.71	4841.272	-25000	0.9126214
56056.01	4752.127	-25000	0.9152254
56705.66	4710.188	-25000	0.9169362
57345.64	4670.364	-25000	0.9185576
57983.37	4557.757	-25000	0.9213954
58616.99	4445.409	-25000	0.9241617
59245.92	4377.062	-25000	0.9261205
59871.01	4301.473	-25000	0.9281543
60490.28	4277.916	-25000	0.9292793
61107.26	4151.002	-25000	0.9320703
61718.52	4092.06	-25000	0.933698
62323.94	4018.654	-25000	0.9355199
62924.55	3952.007	-25000	0.9371945
63522.46	3928.234	-25000	0.9381599
64110.25	3853.069	-25000	0.9398993
64694.66	3798.381	-25000	0.9412876
